Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
jacquemus-le-petit-bambino-black,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LPB_BK3.png?v=1749565681,2,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-petit-bambino-black,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LPB_BK2.png?v=1749565680,3,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-petit-bambino-black,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LPB_BK4.png?v=1749565681,4,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-petit-bambino-dark-purple,JACQUEMUS LE PETIT BAMBINO DARK PURPLE,"<p><p>Jacquemus revisits its iconic 'Le Bambino' bag in an irresistible 'Petit' size. Crafted from hand-selected suede leather in a 'Dark Purple' shade, this accessory is detailed with a glossy gold-tone 'J' to match the exaggerated clasps. Keep yours in the dust bag between uses.</p></p>",Jacquemus,accessories,,"NOTFORLTS, ACCESSORIES, ALL PRODUCTS, BAGS, JACQUEMUS, JACQUEMUS, OUR PICKS, WOMENS, Women, All Women",TRUE,Size,O/S,,,,,,,deny,manual,225.0,365.0,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LBP_DP1.png?v=1749565259,1,,,,,,,,,,,,,,,,,,,,,active
jacquemus-le-petit-bambino-dark-purple,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LBP_DP2.png?v=1749565259,2,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-petit-bambino-dark-purple,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LBP_DP3.png?v=1749565259,3,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-petit-bambino-dark-green,JACQUEMUS LE PETIT BAMBINO DARK GREEN,"<p><p>Jacquemus revisits its iconic 'Le Bambino' bag in an irresistible 'Petit' size. Crafted from hand-selected suede leather in a 'Dark Green' shade, this accessory is detailed with a glossy gold-tone 'J' to match the exaggerated clasps. Keep yours in the dust bag between uses.</p></p>",Jacquemus,accessories,,"NOTFORLTS, ACCESSORIES, ALL PRODUCTS, BAGS, JACQUEMUS, JACQUEMUS, OUR PICKS, WOMENS, Women, All Women",TRUE,Size,O/S,,,,,,,deny,manual,225.0,365.0,,,,https://notorious-plug.com/cdn/shop/files/JQ_LPB_DG1.png?v=1749564909,1,,,,,,,,,,,,,,,,,,,,,active
jacquemus-le-petit-bambino-dark-green,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JACQ_LBP_DG2.png?v=1749564909,2,,,,,,,,,,,,,,,,,,,,,
jacquemus-bag,JACQUEMUS LE CHIQUITO HOMME BEIGE,"<p><p>Inspired by the original Chiquito by Jacquemus, this masculine version of the mini bag will have you jumping on the paradoxically big trend of late. Presented in leather with the iconic logo, it features a removable shoulder strap with a leather insert, magnetic closure, and an interior card pocket.</p></p>",Notorious Plug,accessories,,"NOTFORLTS, ACCESSORIES, ALL PRODUCTS, BAGS, JACQUEMUS, JACQUEMUS, OUR PICKS, WOMENS, Women, All Women",TRUE,Size,O/S,,,,,,,deny,manual,225.0,465.0,,,,https://notorious-plug.com/cdn/shop/files/JACQ_CHIQUITOHOMME_BEIGE.png?v=1749563367,1,,,,,,,,,,,,,,,,,,,,,active
jacquemus-bag,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/DBF57DF0-0FA8-4E98-B33B-FF0430D5DEE6.jpg?v=1749563367,2,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-chiquito-homme-dark-beige,JACQUEMUS LE CHIQUITO HOMME DARK BEIGE,"<p><p>Inspired by the original Chiquito by Jacquemus, this masculine version of the mini bag will have you jumping on the paradoxically big trend of late. Presented in leather with the iconic logo, it features a removable shoulder strap with a leather insert, magnetic closure, and an interior card pocket.</p></p>",Jacquemus,accessories,,"NOTFORLTS, ACCESSORIES, ALL PRODUCTS, BAGS, JACQUEMUS, JACQUEMUS, OUR PICKS, WOMENS, Women, All Women",TRUE,Size,O/S,,,,,,,deny,manual,250.0,535.0,,,,https://notorious-plug.com/cdn/shop/files/JQ_HOMMEBEIGE1.png?v=1748342242,1,,,,,,,,,,,,,,,,,,,,,active
jacquemus-le-chiquito-homme-dark-beige,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JQ_HOMMEBEIGE2.png?v=1748342242,2,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-chiquito-homme-dark-beige,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JQ_HOMMEBEIGE3.png?v=1748342242,3,,,,,,,,,,,,,,,,,,,,,
